ID,SMILES,IC50,pIC50,bioactivity,bio_code,bio_code2,Target.ChEMBL.ID,Target.Name,Document.ChEMBL.ID,Assay.Description,Document.Journal,Document.Year,Molecular.Weight,AlogP
CHEMBL105790,CC1(CS)C(=O)N2CCCC(C(=O)O)N2C1=O,3162.28,5.5,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1152108,Inhibition of Angiotensin I converting enzyme,Bioorg. Med. Chem. Lett.,1994,398.48,2.08
CHEMBL105890,NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,3.981,8.4,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,461.56,3.09
CHEMBL105971,CC(NC(CCc1cccc2ccccc12)C(=O)O)C(=O)N1CCCC1C(=O)O,3.162,8.5,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,Inhibitory activity on Angiotensin I converting enzyme (ACE) obtained from pig renal cortex and hippuryl-histidyl-leucine as substrate,J. Med. Chem.,1989,215.21,-1.32
CHEMBL106193,O=C(O)C1CCCN1C(=O)C1CCC1S,158.49,6.8,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1123106,In vitro inhibitory activity against Angiotensin I converting enzyme from unpurified guinea pig serum,J. Med. Chem.,1985,431.53,3.2
CHEMBL10690,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1P(=O)(O)O)c1ccccc1,1.00E+05,4,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1152108,Inhibition of Angiotensin I converting enzyme,Bioorg. Med. Chem. Lett.,1994,322.39,0.85
CHEMBL107635,O=C(O)CCc1cc(O)c2n(c1=O)C(C(=O)O)CC2,31.62,7.5,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1123106,In vitro inhibitory activity against Angiotensin I converting enzyme from unpurified guinea pig serum,J. Med. Chem.,1985,349.38,1.55
CHEMBL107700,CC(NC(=O)C1CCCCC1S)C(=O)N1CCCC1C(=O)O,10,8,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,253.32,0.98
CHEMBL108606,CC(C)CCC(NC(C)C(=O)N1CCCC1C(=O)O)C(=O)O,7.943,8.1,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,422.48,2.45
CHEMBL108988,O=C(O)C1CC2(CN1C(=O)CP(=O)(O)CCCCc1ccccc1)SCCS2,12.59,7.9,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,482.56,3.95
CHEMBL109178,CC(OP(=O)(O)C(CCc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCCC1C(=O)O,39.81,7.4,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,522.62,4.59
CHEMBL10962,O=C(O)[C@@H]1CCCN1C(=O)CCS,199.53,6.7,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,522.62,4.59
CHEMBL10973,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1c1nn[nH]n1)c1ccccc1,22000,4.66,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1154514,Inhibition of angiotensin-converting enzyme in whole blood by HPLC,Bioorg. Med. Chem. Lett.,2009,411.63,4.91
CHEMBL110375,CC(CS)C(=O)N1C(=O)CCC1C(=O)O,31.62,7.5,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,350.44,1.11
CHEMBL110439,CC1CCCC(NC(CCc2ccccc2)C(=O)O)C(=O)N1CC(=O)O,10,8,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122914,Compound was evaluated for inhibition of porcine plasma Angiotensin I converting enzyme by using fluorometric assay,J. Med. Chem.,1985,656.7,1.8
CHEMBL110444,O=C(O)C1CSC(c2ccccc2O)N1C(=O)CCS,19.95,7.7,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,486.57,3.13
CHEMBL110870,CC(NP(=O)(O)O)C(=O)C1CCCC1C(=O)O,5.012,8.3,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,258.3,-0.24
CHEMBL110925,CC(NC(CCC(=O)Nc1ccc(I)cc1)C(=O)O)C(=O)N1CCCC1C(=O)O,0.7943,9.1,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,405.5,1.24
CHEMBL111578,O=C(SC1CCCC1C(=O)N1CCCC1C(=O)O)c1ccccc1,63.1,7.2,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122836,In vitro inhibitory activity against Angiotensin I converting enzyme,J. Med. Chem.,1985,428.51,2.4
CHEMBL114552,O=C(O)CCCNCP(=O)(O)CCc1ccccc1,1.00E+05,4,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,414.48,1.91
CHEMBL114658,CC1(C)CCCC(NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N1CC(=O)O,12,7.92,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL4266030,Inhibition of human fully glycosylated ACE C-terminal domain expressed in CHO cells using Cbz-Phe-His-Leu as substrate preincubated for 15 mins followed by substrate addition measured after 10 mins by fluorescence spectrophotometric analysis,J Med Chem,2018,408.55,1.94
CHEMBL11507,O=C(O)CN1CCC(CS)C1=O,3700,5.43,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1152108,Inhibition of Angiotensin I converting enzyme,Bioorg. Med. Chem. Lett.,1994,412.51,2.47
CHEMBL1165,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,56,7.25,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122836,In vitro inhibitory activity against Angiotensin I converting enzyme,J. Med. Chem.,1985,525.6,3.04
CHEMBL1168,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,4,8.4,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,398.46,2.28
CHEMBL11707,O=C(O)CN1CCCC(CS)C1=O,1000,6,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122964,Inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1985,414.48,2.25
CHEMBL11783,CC(=O)SCC1CCN(CC(=O)O)C1=O,33000,4.48,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1154514,Inhibition of angiotensin-converting enzyme in whole blood by HPLC,Bioorg. Med. Chem. Lett.,2009,341.5,2.62
CHEMBL11795,CC(=O)SCC1CCCN(CC(=O)O)C1=O,1.00E+05,4,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1154514,Inhibition of angiotensin-converting enzyme in whole blood by HPLC,Bioorg. Med. Chem. Lett.,2009,343.47,2.06
CHEMBL12006,CC(=O)SCC1CCCN(C(C(=O)O)c2ccccc2)C1=O,19000,4.72,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1154514,Inhibition of angiotensin-converting enzyme in whole blood by HPLC,Bioorg. Med. Chem. Lett.,2009,359.54,2.78
CHEMBL1233799,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)P(=O)(O)O,11,7.96,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121370,Compound is evaluated for the inhibition of porcine plasma Angiotensin I converting enzyme,J. Med. Chem.,1980,473.55,1.08
CHEMBL1237,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,0.1,10,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,229.3,0.77
CHEMBL1242210,CN1CCN(c2cccc3nc(CN(C)[C@H]4CCCc5cccnc54)c(CO)n23)CC1,193,6.71,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122836,In vitro inhibitory activity against Angiotensin I converting enzyme,J. Med. Chem.,1985,362.43,1.6
CHEMBL128223,O=C(/C=C\S)C1CC[C@@H](C(=O)O)C1,650,6.19,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122836,In vitro inhibitory activity against Angiotensin I converting enzyme,J. Med. Chem.,1985,382.42,1.7
CHEMBL128399,C[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N1CCC[C@@H]1C(=O)O,4200,5.38,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1154514,Inhibition of angiotensin-converting enzyme in whole blood by HPLC,Bioorg. Med. Chem. Lett.,2009,395.59,4.1
CHEMBL129432,C[C@H](NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)O,16000,4.8,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1154514,Inhibition of angiotensin-converting enzyme in whole blood by HPLC,Bioorg. Med. Chem. Lett.,2009,392.34,2.82
CHEMBL131552,C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,3.2,8.49,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122915,Inhibitory activity against porcine plasma Angiotensin I converting enzyme,J. Med. Chem.,1985,458.45,2.5
CHEMBL136312,CC(NC(C(=O)O)C1CCCN1C(=O)NC(Cc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,5.4,8.27,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,267.24,0.14
CHEMBL1422,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,11000,4.96,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,414.48,1.77
CHEMBL147185,O=C1N[C@H](C(=O)O)CCCCCc2cccc(c2)C[C@@H]1CS,4,8.4,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,328.43,1.06
CHEMBL147526,O=C(O)[C@@H]1CCCCCCc2cccc(c2)C[C@@H](CS)C(=O)N1,118,6.93,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126739,Inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1993,230.22,-0.65
CHEMBL147755,O=C1N[C@H](C(=O)O)Cc2ccccc2CCCCCC[C@@H]1CS,725,6.14,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I converting enzyme,J. Med. Chem.,1994,371.5,3.37
CHEMBL148140,O=C1N[C@@H](C(=O)O)Cc2ccccc2CCCCC[C@@H]1CS,6000,5.22,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1154514,Inhibition of angiotensin-converting enzyme in whole blood by HPLC,Bioorg. Med. Chem. Lett.,2009,405.54,3.85
CHEMBL148616,C[C@H](CS)C(=O)N1Cc2[nH]c3ccccc3c2CC1C(=O)O,500,6.3,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124532,Compound tested in vitro for inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1989,495.67,2.02
CHEMBL148840,O=C(O)[C@@H]1CCCCCc2cccc(c2)C[C@@H](CS)C(=O)N1,4,8.4,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,314.38,0.93
CHEMBL149367,O=C1N[C@@H](C(=O)O)Cc2ccccc2CCCCCC[C@@H]1CS,470,6.33,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122836,In vitro inhibitory activity against Angiotensin I converting enzyme,J. Med. Chem.,1985,449.51,2.66
CHEMBL1519,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,0.93,9.03,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,443.53,3.14
CHEMBL152758,CC(N[C@H](C)C(=O)N1CCC[C@H]1C(=O)O)C(=O)O,90,7.05,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,416.52,2.24
CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,9,8.05,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,488.48,3.04
CHEMBL1581,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,1.5,8.82,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,203.26,0.38
CHEMBL1592,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,8.3,8.08,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122915,Inhibitory activity against porcine plasma Angiotensin I converting enzyme,J. Med. Chem.,1985,446.51,2.25
CHEMBL162360,C[C@H](CS)C(=O)N1CCCC1C(=O)O,23,7.64,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1134493,Inhibition against angiotensin I converting enzyme,J. Med. Chem.,2001,255.66,1.19
CHEMBL171850,CC(C)CC(S)C(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,710,6.15,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1133572,Inhibitory activity against angiotensin I converting enzyme (ACE),J. Med. Chem.,2000,253.32,0.98
CHEMBL172015,O=C(NC(Cc1cccnc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)OCc1ccccc1)c1ccccc1,15,7.82,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1152108,Inhibition of Angiotensin I converting enzyme,Bioorg. Med. Chem. Lett.,1994,350.44,1.11
CHEMBL172262,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccco1,1.4,8.85,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,231.27,0.15
CHEMBL172356,O=C(NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)OCc1ccccc1)c1ccccc1,86,7.07,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,364.47,1.36
CHEMBL172600,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CC(O)C[C@H]1C(=O)O)c1ccccc1,540,6.27,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1152108,Inhibition of Angiotensin I converting enzyme,Bioorg. Med. Chem. Lett.,1994,404.53,2.8
CHEMBL172783,O=C(NC(Cc1ccccc1)C(=O)CCCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,42,7.38,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,430.55,2.63
CHEMBL172787,CC(C)C(C(=O)NC(Cc1ccc(O)cc1)C(=O)O)C(S)CCc1ccccc1,4500,5.35,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,426.54,2.71
CHEMBL172801,O=C(NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,10,8,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,362.43,1.52
CHEMBL172913,CC(NC(=O)c1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O,300,6.52,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1152108,Inhibition of Angiotensin I converting enzyme,Bioorg. Med. Chem. Lett.,1994,398.48,2.08
CHEMBL172917,CC(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O,330,6.48,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1128468,Biological activity was measured against Angiotensin I converting enzyme,J. Med. Chem.,1995,261.28,0.24
CHEMBL172978,CCC(C)C(NC(=O)C(Cc1ccccc1)C(C)S)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,300,6.52,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1152108,Inhibition of Angiotensin I converting enzyme,Bioorg. Med. Chem. Lett.,1994,364.47,2.02
CHEMBL173287,CC(C)CC(S)CC(=O)NC(Cc1ccccc1)C(=O)O,10000,5,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,412.51,2.32
CHEMBL1733,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,2.8,8.55,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,313.4,1.74
CHEMBL173376,Cc1ccccc1C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O,46,7.34,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1152108,Inhibition of Angiotensin I converting enzyme,Bioorg. Med. Chem. Lett.,1994,386.47,2.15
CHEMBL173822,O=C(NC(Cc1ccc(O)cc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,4.7,8.33,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,265.2,0.13
CHEMBL173849,COc1ccc(CC(NC(=O)c2ccccc2)C(=O)CCC(=O)N2CCC[C@H]2C(=O)O)cc1OC,1.4,8.85,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,517.32,1.52
CHEMBL173919,CC(C)CC(S)[C@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)O,4000,5.4,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1152108,Inhibition of Angiotensin I converting enzyme,Bioorg. Med. Chem. Lett.,1994,398.48,1.68
CHEMBL174066,CCCCC(NC(=O)C(Cc1ccccc1)C(C)S)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,6100,5.21,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1154514,Inhibition of angiotensin-converting enzyme in whole blood by HPLC,Bioorg. Med. Chem. Lett.,2009,397.44,2.95
CHEMBL174237,CC(C)C[C@@H](S)[C@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)O,5000,5.3,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1154514,Inhibition of angiotensin-converting enzyme in whole blood by HPLC,Bioorg. Med. Chem. Lett.,2009,431.62,4.77
CHEMBL175110,O=C(O)C(Cc1ccc(O)cc1)NC(=O)C(Cc1ccccc1)C(S)CCc1ccccc1,1600,5.8,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,430.55,2.48
CHEMBL176688,O=C(NC(Cc1cccnc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,5.7,8.24,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,347.44,2.8
CHEMBL176729,Cc1ccccc1C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)OCc1ccccc1,1600,5.8,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1156603,Inhibition of ACE,Bioorg. Med. Chem. Lett.,2008,395.59,4.05
CHEMBL176960,CC(C)C(NC(=O)C(Cc1ccccc1)C(C)S)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,1300,5.89,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1156603,Inhibition of ACE,Bioorg. Med. Chem. Lett.,2008,385.58,3.61
