ID,SMILES,IC50,pIC50,bioactivity,Target.ChEMBL.ID,Target.Name,Document.ChEMBL.ID,Assay.Description,Document.Journal,Document.Year,MW,LogP,nHA,nHD,TPSA,nHET,nRot,Aro
CHEMBL108988,O=C(O)C1CC2(CN1C(=O)CP(=O)(O)CCCCc1ccccc1)SCCS2,12.59,7.9,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,443.523,1.4851,6,2,155.32,9,8,1
CHEMBL109178,CC(OP(=O)(O)C(CCc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCCC1C(=O)O,39.81,7.4,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,488.475,0.5998,9,3,143.05,10,10,2
CHEMBL10962,O=C(O)[C@@H]1CCCN1C(=O)CCS,199.53,6.7,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,203.261,0.1477,4,1,96.41,5,3,0
CHEMBL10973,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1c1nn[nH]n1)c1ccccc1,22000,4.66,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122915,Inhibitory activity against porcine plasma Angiotensin I converting enzyme,J. Med. Chem.,1985,446.509,2.3801,9,2,120.94,9,9,3
CHEMBL110375,CC(CS)C(=O)N1C(=O)CCC1C(=O)O,31.62,7.5,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,231.271,-0.2002,5,1,113.48,6,3,0
CHEMBL110439,CC1CCCC(NC(CCc2ccccc2)C(=O)O)C(=O)N1CC(=O)O,10,8,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,362.424,-0.676,7,3,106.94,7,8,1
CHEMBL110444,O=C(O)C1CSC(c2ccccc2O)N1C(=O)CCS,19.95,7.7,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,313.397,0.9705,5,2,141.94,7,4,1
CHEMBL110870,CC(NP(=O)(O)O)C(=O)C1CCCC1C(=O)O,5.012,8.3,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,265.201,-3.5225,7,4,133.74,8,4,0
CHEMBL110925,CC(NC(CCC(=O)Nc1ccc(I)cc1)C(=O)O)C(=O)N1CCCC1C(=O)O,0.7943,9.1,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,517.315,-1.023,9,4,136.04,10,9,1
CHEMBL111578,O=C(SC1CCCC1C(=O)N1CCCC1C(=O)O)c1ccccc1,63.1,7.2,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,347.434,1.8408,5,1,99.98,6,5,1
CHEMBL114552,O=C(O)CCCNCP(=O)(O)CCc1ccccc1,1.00E+05,4,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1145855,Inhibitory activity against Angiotensin I converting enzyme (ACE) from human blood serum,J. Med. Chem.,2003,285.279,-1.1981,5,3,96.44,6,9,1
CHEMBL114658,CC1(C)CCCC(NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N1CC(=O)O,12,7.92,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1133572,Inhibitory activity against angiotensin I converting enzyme (ACE),J. Med. Chem.,2000,378.491,1.4653,6,2,125.51,7,6,1
CHEMBL11507,O=C(O)CN1CCC(CS)C1=O,3700,5.43,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121705,Concentration required for 50% inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1981,189.234,-0.5787,4,1,96.41,5,3,0
CHEMBL1165,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,56,7.25,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1123237,Inhibition of guinea pig angiotensin I converting enzyme,J. Med. Chem.,1986,498.574,0.5584,9,2,114.4,9,12,2
CHEMBL1168,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,4,8.4,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1133572,Inhibitory activity against angiotensin I converting enzyme (ACE),J. Med. Chem.,2000,416.516,0.6183,7,2,95.94,7,10,1
CHEMBL11707,O=C(O)CN1CCCC(CS)C1=O,1000,6,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121705,Concentration required for 50% inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1981,203.261,-0.2367,4,1,96.41,5,3,0
CHEMBL11783,CC(=O)SCC1CCN(CC(=O)O)C1=O,33000,4.48,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121705,Concentration required for 50% inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1981,231.271,-0.989,5,1,99.98,6,5,0
CHEMBL11795,CC(=O)SCC1CCCN(CC(=O)O)C1=O,1.00E+05,4,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121705,Concentration required for 50% inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1981,245.298,-0.647,5,1,99.98,6,5,0
CHEMBL12006,CC(=O)SCC1CCCN(C(C(=O)O)c2ccccc2)C1=O,19000,4.72,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121705,Concentration required for 50% inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1981,321.396,0.6515,5,1,99.98,6,6,1
CHEMBL1233799,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)P(=O)(O)O,11,7.96,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL3259630,Inhibition of human ACE N-terminal domain using Cbz-Phe-His-Leu-OH substrate,ACS Med. Chem. Lett.,2014,535.532,-1.5234,11,7,195.1,12,12,2
CHEMBL1237,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,0.1,10,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1145855,Inhibitory activity against Angiotensin I converting enzyme (ACE) from human blood serum,J. Med. Chem.,2003,405.493,-2.5468,8,4,132.96,8,12,1
CHEMBL1242210,CN1CCN(c2cccc3nc(CN(C)[C@H]4CCCc5cccnc54)c(CO)n23)CC1,193,6.71,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1240366,Inhibition of ACE,Antimicrob. Agents Chemother.,2010,420.559,1.3648,7,1,60.14,7,5,3
CHEMBL128223,O=C(/C=C\S)C1CC[C@@H](C(=O)O)C1,650,6.19,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122964,Inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1985,200.257,0.4694,3,1,93.17,4,3,0
CHEMBL128399,C[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N1CCC[C@@H]1C(=O)O,4200,5.38,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127412,Inhibition against ACE.,J. Med. Chem.,1994,333.387,-2.0466,7,3,112.73,7,6,1
CHEMBL129432,C[C@H](NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)O,16000,4.8,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127412,Inhibition against ACE.,J. Med. Chem.,1994,342.398,-4.5675,10,5,177.13,10,8,0
CHEMBL131552,C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,3.2,8.49,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122964,Inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1985,437.494,1.5322,8,3,115.81,8,8,2
CHEMBL136312,CC(NC(C(=O)O)C1CCCN1C(=O)NC(Cc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,5.4,8.27,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122972,In vitro inhibitory activity against Angiotensin I converting enzyme,J. Med. Chem.,1985,504.538,-2.0352,12,5,176.58,12,10,1
CHEMBL1422,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,11000,4.96,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL4020733,Inhibition of human plasma ACE,Bioorg Med Chem Lett,2017,407.317,1.5969,6,1,77.04,12,5,2
CHEMBL147185,O=C1N[C@H](C(=O)O)CCCCCc2cccc(c2)C[C@@H]1CS,4,8.4,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1129939,Inhibitory concentration required to inhibit Angiotensin I converting enzyme (ACE),J. Med. Chem.,1997,321.44,2.7912,4,2,105.2,5,2,1
CHEMBL147526,O=C(O)[C@@H]1CCCCCCc2cccc(c2)C[C@@H](CS)C(=O)N1,118,6.93,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1129939,Inhibitory concentration required to inhibit Angiotensin I converting enzyme (ACE),J. Med. Chem.,1997,335.467,3.2456,4,2,105.2,5,2,1
CHEMBL147755,O=C1N[C@H](C(=O)O)Cc2ccccc2CCCCCC[C@@H]1CS,725,6.14,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1129939,Inhibitory concentration required to inhibit Angiotensin I converting enzyme (ACE),J. Med. Chem.,1997,335.467,3.2456,4,2,105.2,5,2,1
CHEMBL148140,O=C1N[C@@H](C(=O)O)Cc2ccccc2CCCCC[C@@H]1CS,6000,5.22,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1129939,Inhibitory concentration required to inhibit Angiotensin I converting enzyme (ACE),J. Med. Chem.,1997,321.44,2.7912,4,2,105.2,5,2,1
CHEMBL148616,C[C@H](CS)C(=O)N1Cc2[nH]c3ccccc3c2CC1C(=O)O,500,6.3,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1129939,Inhibitory concentration required to inhibit Angiotensin I converting enzyme (ACE),J. Med. Chem.,1997,318.396,1.1823,5,2,112.2,6,3,2
CHEMBL148840,O=C(O)[C@@H]1CCCCCc2cccc(c2)C[C@@H](CS)C(=O)N1,4,8.4,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL2203227,Inhibition of ACE,J. Med. Chem.,2011,321.44,2.7912,4,2,105.2,5,2,1
CHEMBL149367,O=C1N[C@@H](C(=O)O)Cc2ccccc2CCCCCC[C@@H]1CS,470,6.33,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1129939,Inhibitory concentration required to inhibit Angiotensin I converting enzyme (ACE),J. Med. Chem.,1997,335.467,3.2456,4,2,105.2,5,2,1
CHEMBL1519,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,0.93,9.03,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1133572,Inhibitory activity against angiotensin I converting enzyme (ACE),J. Med. Chem.,2000,430.543,0.9603,7,2,95.94,7,10,1
CHEMBL152758,CC(N[C@H](C)C(=O)N1CCC[C@H]1C(=O)O)C(=O)O,90,7.05,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1135683,Inhibition of Angiotensin I converting enzyme (ACE) in Bothrops jararaca venom,J. Med. Chem.,2002,258.273,-2.755,7,3,106.94,7,5,0
CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,9,8.05,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,217.288,0.366,4,1,96.41,5,3,0
CHEMBL1581,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,1.5,8.82,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL2439978,Inhibition of ACE (unknown origin),Bioorg. Med. Chem.,2013,368.472,-0.0272,7,2,95.94,7,9,0
CHEMBL1592,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,8.3,8.08,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1133572,Inhibitory activity against angiotensin I converting enzyme (ACE),J. Med. Chem.,2000,438.522,0.6984,7,2,95.94,7,10,2
CHEMBL162360,C[C@H](CS)C(=O)N1CCCC1C(=O)O,23,7.64,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1135683,Inhibition of Angiotensin I converting enzyme (ACE) in Bothrops jararaca venom,J. Med. Chem.,2002,217.288,0.366,4,1,96.41,5,3,0
CHEMBL171850,CC(C)CC(S)C(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,710,6.15,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126948,Inhibitory concentration was evaluated by inhibiting 50% of Angiotensin I Converting Enzyme activity using 50 uM N-Cbz-Phe-His-Leu as substrate,J. Med. Chem.,1993,415.552,3.821,5,3,125.43,6,10,2
CHEMBL172015,O=C(NC(Cc1cccnc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)OCc1ccccc1)c1ccccc1,15,7.82,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,513.592,3.2445,8,1,105.67,8,12,3
CHEMBL172262,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccco1,1.4,8.85,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,412.441,1.5881,8,2,116.92,8,9,2
CHEMBL172356,O=C(NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)OCc1ccccc1)c1ccccc1,86,7.07,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,618.728,5.5935,8,1,102.01,8,15,4
CHEMBL172600,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CC(O)C[C@H]1C(=O)O)c1ccccc1,540,6.27,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,438.478,1.5473,8,3,124.01,8,9,2
CHEMBL172783,O=C(NC(Cc1ccccc1)C(=O)CCCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,42,7.38,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,436.506,2.8538,7,2,103.78,7,10,2
CHEMBL172787,CC(C)C(C(=O)NC(Cc1ccc(O)cc1)C(=O)O)C(S)CCc1ccccc1,4500,5.35,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126948,Inhibitory concentration was evaluated by inhibiting 50% of Angiotensin I Converting Enzyme activity using 50 uM N-Cbz-Phe-His-Leu as substrate,J. Med. Chem.,1993,415.552,3.821,5,3,125.43,6,10,2
CHEMBL172801,O=C(NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,10,8,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,528.603,3.7475,8,2,113.01,8,12,3
CHEMBL172913,CC(NC(=O)c1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O,300,6.52,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,346.382,0.9575,7,2,103.78,7,7,1
CHEMBL172917,CC(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O,330,6.48,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,360.409,0.9556,7,2,103.78,7,8,1
CHEMBL172978,CCC(C)C(NC(=O)C(Cc1ccccc1)C(C)S)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,300,6.52,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126948,Inhibitory concentration was evaluated by Inhibiting 50% of Angiotensin I converting enzyme activity using 50 uM N-Cbz-Phe-His-Leu as substrate,J. Med. Chem.,1993,486.631,3.264,7,4,154.53,8,12,2
CHEMBL173287,CC(C)CC(S)CC(=O)NC(Cc1ccccc1)C(=O)O,10000,5,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126948,Inhibitory concentration was evaluated by inhibiting 50% of Angiotensin I Converting Enzyme activity using 50 uM N-Cbz-Phe-His-Leu as substrate,J. Med. Chem.,1993,309.429,2.5065,4,2,105.2,5,8,1
CHEMBL1733,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,2.8,8.55,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1123237,Inhibition of guinea pig angiotensin I converting enzyme,J. Med. Chem.,1986,410.468,-0.1358,7,3,106.94,7,8,2
CHEMBL173376,Cc1ccccc1C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O,46,7.34,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,436.506,2.7433,7,2,103.78,7,9,2
CHEMBL173822,O=C(NC(Cc1ccc(O)cc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,4.7,8.33,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,438.478,2.0537,8,3,124.01,8,9,2
CHEMBL173849,COc1ccc(CC(NC(=O)c2ccccc2)C(=O)CCC(=O)N2CCC[C@H]2C(=O)O)cc1OC,1.4,8.85,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,482.531,2.2594,9,2,122.24,9,11,2
CHEMBL173919,CC(C)CC(S)[C@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)O,4000,5.4,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126948,Inhibitory concentration was evaluated by inhibiting 50% of Angiotensin I Converting Enzyme activity using 50 uM N-Cbz-Phe-His-Leu as substrate,J. Med. Chem.,1993,323.456,2.7248,4,2,105.2,5,8,1
CHEMBL174066,CCCCC(NC(=O)C(Cc1ccccc1)C(C)S)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,6100,5.21,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126948,Inhibitory concentration was evaluated by Inhibiting 50% of Angiotensin I converting enzyme activity using 50 uM N-Cbz-Phe-His-Leu as substrate,J. Med. Chem.,1993,486.631,3.5001,7,4,154.53,8,13,2
